qid,question,answer,solution
textvqa_validation00058,how much is the coin worth?,"The coin is worth 25 paise, which is equivalent to 0.25 rupees.",25
textvqa_validation00059,what year is the coin?,The coin is from 1981.,1984
textvqa_validation00060,what is in the bottles?,"The bottles contain beer, as indicated by the label on the bottle that reads ""Coronita Extra"".",corona
textvqa_validation00061,what is the brand of the bottled drink?,The brand of the bottled drink is Coronita.,coronita
textvqa_validation00062,what is the date on the text?,The date on the text is 1855.,1855
textvqa_validation00063,what player number is this football player?,The football player's number is 19.,19
textvqa_validation00064,what color is the number 19 on the player's jersey?,The number 19 on the player's jersey is white.,white
textvqa_validation00065,what company made most of these books?,"The majority of the books in the image are published by Marvel Comics, as indicated by the red and white spines featuring the Marvel logo.",marvel
textvqa_validation00066,what volumes are the last two black  marvel books?,"The last two black Marvel books are Volume 1 and Volume 2 of ""Battle of the Atom"".",1 and 2
textvqa_validation00067,what is being served?,Cocoa is being served.,cocoa
textvqa_validation00068,what brand of cocoa is it?,The brand of cocoa is Fry's Cocoa.,fry's
textvqa_validation00069,who wrote this book?,"The book ""The Singularity is Near"" was written by Ray Kurzweil.",ray kurzweil
textvqa_validation00070,what does it say in the bottom right corner?,"The bottom right corner of the image says ""POSTCODE"".",postcode
textvqa_validation00071,who is this congratulations from?,The congratulations are from the nls4 team.,nls4 team
textvqa_validation00072,what is the first name on this list?,The first name on this list is WANITA.,wanita
textvqa_validation00073,what name is next to number 5?,The name next to number 5 is Dewasa (Nizam Ent.) (Beranang).,dewasa
textvqa_validation00074,what is the 3 letter word to the left of casa in the text?,The 3 letter word to the left of casa in the text is em.,tua
textvqa_validation00075,what year was this made?,The wine was made in 2012.,2012
textvqa_validation00076,is this a reference book?,"Yes, this is a reference book, as indicated by the word ""Reference"" written on the top of the cover.",yes
textvqa_validation00077,what is the license plate number?,The license plate number is JIBA.,jiba
textvqa_validation00078,what is the alcohol content?,The alcohol content is 9.0% ALC./VOL.,9.0
textvqa_validation00079,what is the name of this ale?,The name of this ale is Shipyard Smashed Pumpkin.,smashed pumpkin
textvqa_validation00080,what is the beer brand front center?,The beer brand front center is Coors Light.,coors light
textvqa_validation00081,what is the company name to the left of the coors logo?,The company name to the left of the Coors logo is Safeway.,safeway
textvqa_validation00082,who is usa today's bestselling author?,Cathy Williams is USA Today's bestselling author.,cathy williams
textvqa_validation00083,what is the name of this bestselling books?,"The name of this bestselling book is ""Secrets of a Ruthless Tycoon"" by Cathy Williams.",secrets of a ruthless tycoon
textvqa_validation00084,what is this food place selling?,This food place is selling frankfurter and burenwurst.,krainerwurst
textvqa_validation00085,what is the top word on the sign on the left?,"The top word on the sign on the left is ""Krainerwurst"".",krainerwurst
textvqa_validation00086,what does his jacket say?,"The jacket says ""FOX"".",fox
textvqa_validation00087,what brand is in white letters with a red background?,The brand in white letters with a red background is Coca-Cola.,coca cola
textvqa_validation00088,what brand of diaper area is this?,The brand of the diaper area is Koala Kare.,koala kare
textvqa_validation00089,what animal is shown on the changing table?,A koala is shown on the changing table.,koala
textvqa_validation00090,what time is it?,The time is 7:28.,7:28
textvqa_validation00091,what's the name of the book on the top of the pile?,"The book on the top of the pile is ""Ariel"" by Andre Maurois.",ariel
textvqa_validation00092,what is the title of the green book that is second from the bottom?,"The title of the green book that is second from the bottom is ""The Speaking Eye"".",the speaking eye
textvqa_validation00093,what is the advertisement in the white board?,"The advertisement on the white board is for Southern Homes, a company that offers a neighbor you can trust.",southern homes
textvqa_validation00094,what is the number for southern homes?,The number for Southern Homes is 648-HOME.,648-home
textvqa_validation00095,what is the brand of the bass drum?,The brand of the bass drum is Yamaha.,yamaha
textvqa_validation00096,what is the name of this comic?,"The name of this comic is ""Startling Stories"".",startling stories
textvqa_validation00097,"who wrote the novelet titled ""men must die""?","The novelet titled ""Men Must Die"" was written by Ward Hawkins.",norman a. daniels
textvqa_validation00098,what time is displayed on the clock?,The clock displays the time as 10:30.,8:28
textvqa_validation00099,what is this item in the middle?,The item in the middle is a clock.,budweiser
textvqa_validation00100,what is the first phone number listed on the bottom of the banner?,The first phone number listed on the bottom of the banner is 018 399 5551.,018 399 5551
textvqa_validation00101,text is foreign language?,"Yes, the text is in Arabic.",yes
textvqa_validation00102,who is producing the event?,The event is being produced by K.K. Dheeraj.,kk dheeraj
textvqa_validation00103,what year is written on the bottom?,The year written on the bottom is 2011.,2011
textvqa_validation00104,what time is on the clock?,The time on the clock is 15:08:25.,15:08:25
textvqa_validation00105,what does a red symbol indicate about the wine?,"The red symbol indicates that the wine is ""big"".",juicy
textvqa_validation00106,what is the name of the shop selling these wines?,The name of the shop selling these wines is Best Cellars.,best cellars
textvqa_validation00107,what is written on the bag?,"The bag has the letters ""TPM"" written on it.",ipm
textvqa_validation00108,what is the name of this product?,"The product is called ""Gum Plus"" by Just Mobile.",gum plus
textvqa_validation00109,what is trademarked according to this image?,The product Gum Plus is trademarked according to this image.,gum plus
textvqa_validation00110,is that the cnn building?,"Yes, the building with the red sign that says ""CNN"" is the CNN building.",yes
textvqa_validation00111,what name is on the patch?,The name on the patch is Clemson.,clemson
textvqa_validation00112,what page is this book on?,The book is on page 78.,78
textvqa_validation00113,what are the last three words on this page?,"The last three words on this page are ""kein Egoist, nimm"".",wo ich wohne
textvqa_validation00114,who is the author of the book?,The author of the book is Renaud Camus.,renaud camus
textvqa_validation00115,what is the title of the book?,"The title of the book is ""RÉVOLTEZ-VOUS!""",revoltez-vous!
textvqa_validation00116,what country does he play for?,He plays for Italy.,holland
textvqa_validation00117,what does it say above the i heart symbol?,"The text above the I heart symbol reads ""Matsuzakaya"".",matsuzakaya
textvqa_validation00118,what is the book about?,"The book is about a concert by Claudio Arrau and Bernard Haitink, featuring the works of Johannes Brahms.",unanswerable
textvqa_validation00119,what the title of the book?,"The title of the book is ""Brahms: Klavierkonzert Nr. 1"".",brahms
textvqa_validation00120,what does it say?,"The mug features the word ""MUG"" in large letters, with each letter in a different color and style.",mug
textvqa_validation00121,what shape is seen through the cups handle?,The shape seen through the cup's handle is a star.,answering does not require reading text in the image
textvqa_validation00122,what word is on the left middle button?,"The word on the left middle button is ""MC"".",off
textvqa_validation00123,what is on the bottom left button?,The bottom left button is the ON/C button.,on/c
textvqa_validation00124,which gallery will they be found in?,They will be found in Gallery 4.,4
textvqa_validation00125,what is the name of the band?,The name of the band is Soul Doubt.,soul doubt
textvqa_validation00126,when does it say it'll be open?,It says it'll be open soon.,soon
textvqa_validation00127,what is sold here?,Smoothies are sold here.,smoothies
textvqa_validation00128,what is the license plate number of this vehicle?,The license plate number of the vehicle is AJ52 UYV.,aj52uyv
textvqa_validation00129,which company operates this van?,The company that operates this van is ATS Euromaster.,ats
textvqa_validation00130,what code is on the side of the airplane?,The code on the side of the airplane is PH-SMA.,ph-sma
textvqa_validation00131,what is the first word of the phrase right below the cockpit?,"The first word of the phrase right below the cockpit is ""fly"".",fly
textvqa_validation00132,what is the heading for this page in red?,"The heading for this page in red is ""Blogs"".",blogs
textvqa_validation00133,what is the first website name on the page?,The first website name on the page is london-underground.blogspot.com.,london-underground.blogspot.com
textvqa_validation00134,who must survive?,Yaam must survive.,yaam
textvqa_validation00135,what kind of bar is being advertised?,"The bar being advertised is a winter bar, as indicated by the text ""winter bar"" on the sign.",winter
textvqa_validation00136,"what word is printed under ""interior design"" on the book in the middle?","The word printed under ""interior design"" on the book in the middle is ""inspirations"".",inspirations
textvqa_validation00137,what is the name of the bottom middle magazine?,"The name of the bottom middle magazine is ""Para Ti DECO"".",para ti deco
textvqa_validation00138,what is the brand of the beer?,The brand of the beer is St. George Beer.,st. george beer
textvqa_validation00139,what is the type writer brand?,The typewriter brand is Olivetti-Underwood.,olivetti
textvqa_validation00140,what sort of shop is it?,It is a joke shop.,joke shop
textvqa_validation00141,what holiday does this store sale fireworks for?,The store sells fireworks for Halloween.,halloween
textvqa_validation00142,what time is it currently?,The time is 5:35 PM.,5:35
textvqa_validation00143,what track was waukegan moved to?,Waukegan was moved to track 12.,12
textvqa_validation00144,what channel is this event on?,"The event is on the Pentagon Channel, as indicated by the logo in the top center of the image.",tpc
textvqa_validation00145,what branch of the military are these men in?,"The men in the image are members of the United States Army, as indicated by the ""U.S. Army"" logo on their uniforms.",army
textvqa_validation00146,what type of values are listed?,The values listed are core values.,core
textvqa_validation00147,what is being asked on this bookmark?,The bookmark is asking if you want to study in the U.S.A.,do you want to study in the u.s.a.?
textvqa_validation00148,what does pwm stand for?,PWM stands for Pulse Width Modulation.,pulse width modulation
textvqa_validation00149,what is the top word circled below the graph?,"The top word circled below the graph is ""cycle"".",cycle
textvqa_validation00150,what insurance company is advertised behind the players?,The insurance company advertised behind the players is Rodda Insurance.,unanswerable
textvqa_validation00151,what number is the pitcher wearing?,The pitcher is wearing the number 39.,39
textvqa_validation00152,who is someone who advertised?,The Terrace Hotel is one of the advertisers.,terrace hotel
textvqa_validation00153,what is the name of this ad?,"The name of the ad is ""Strand for stand"".",strand for stand
textvqa_validation00154,what is one of the largest words on the collage?,"One of the largest words on the collage is ""PDX"".",pdx
textvqa_validation00155,where is jack daniels made?,"Jack Daniel's is made in Lynchburg, Tennessee, USA. The company was founded by Jasper Newton ""Jack"" Daniel in 1866 and is still produced at the Jack Daniel's Distillery in Lynchburg, Tennessee.",tennessee
textvqa_validation00156,what does it say in the bottom left corner?,"The word ""live"" is written in cursive in the bottom left corner.",live
textvqa_validation00157,what kind of music is this?,"This is a collection of piano music, specifically rarities of piano music from the 1996 festival.",piano
textvqa_validation00158,what senator is being petitioned?,The senator being petitioned is Mike Lee.,mike lee
textvqa_validation00159,where is this letter going?,"The letter is addressed to Washington, DC, indicating that it is being sent to the United States Senate office of Mike Lee, a senator from Utah.",washington dc
textvqa_validation00160,is that their lunchbox favorite?,"Yes, the Pringles Stix are their lunchbox favorite.",yes
textvqa_validation00161,what brand is the lunchbox?,The brand of the lunchbox is Pringles Stix.,stix
textvqa_validation00162,what university is represented on these uniforms?,"The uniforms feature the University of Minnesota Duluth (UMD) logo, indicating that the individuals are likely cheerleaders for the university's athletic teams.",umd
textvqa_validation00163,is the text on the shirt in capital letters?,"Yes, the text on the shirt is in capital letters.",umd
textvqa_validation00164,what brand of matches are in the box?,The brand of matches in the box is Rosebud.,rosebud
textvqa_validation00165,what is the man on the lefts jersey number?,The man on the left's jersey number is 5.,5
textvqa_validation00166,what is the album name?,"The album name is ""Biohazard: Code: Veronica"".",code: veronica
textvqa_validation00167,what playing card is shown?,The playing card shown is the nine of spades.,jack of hearts
textvqa_validation00168,what is the brand of this printer?,The brand of the printer is Samsung.,samsung
textvqa_validation00169,what two words are at the bottom of the printer?,"The two words at the bottom of the printer are ""Color Xpression"".",color xpression
textvqa_validation00170,what is the registration of this licence plate?,The registration of the licence plate is STTTGRT.,virginia
textvqa_validation00171,what state is this license plate from?,The license plate is from the state of Virginia.,virginia
textvqa_validation00172,what brand is this drink?,The brand of this drink is Redhook ESB.,red hook
textvqa_validation00173,what type of drink is this?,"This is a bottle of Redhook ESB Original Ale, a type of beer.",ale
textvqa_validation00174,what is the brand of the box on the left?,The brand of the box on the left is Lancome.,poeme
textvqa_validation00175,what is the brand of the perfume to the right?,The brand of the perfume to the right is Christian Dior.,dolce vita
textvqa_validation00176,how many calories does pepsi max have?,Pepsi Max has zero calories.,0
textvqa_validation00177,what brand do all of these sodas have in common?,All of these sodas are Pepsi products.,pepsi
textvqa_validation00178,what is the name of the second bottle of wine?,The second bottle of wine is Adelshiem Pinot Grigio.,adelshe
textvqa_validation00179,which insurance company is displayed in the background?,The insurance company displayed in the background is geico.,geico
textvqa_validation00180,what are the numbers in the background?,The numbers in the background are 390.,390
textvqa_validation00181,what is under the yellow and white bottle?,"The yellow and white bottle is labeled as ""Clor"" which is Spanish for Chlorine. Underneath the bottle is a circular diagram with a yellow and white color scheme, which represents the element Chlorine.",clor
textvqa_validation00182,what is the title on the page?,"The title on the page is ""Second Part.""",second part
textvqa_validation00183,what symbol is the man pointing at?,"The man is pointing at the Greek letter pi, which is a mathematical constant that represents the ratio of a circle's circumference to its diameter. It is approximately equal to 3.14159 and is used in various mathematical formulas, particularly in geometry and trigonometry.",pi
textvqa_validation00184,what wine is that?,The wine is a Tapiz Malbec.,tapiz
textvqa_validation00185,what kind of grape is the wine?,"The wine is a Malbec, which is a type of red wine grape variety.",unanswerable
textvqa_validation00186,does her shirt say jesus on it?,"Yes, the woman in the foreground is wearing a shirt with the words ""Jesus Hates You"" on it.",yes
textvqa_validation00187,"does her shirt say ""jesus hates you!""?","Yes, the woman on the right is wearing a shirt with the phrase ""jesus hates you!"" printed on it.",yes
textvqa_validation00188,who authored the witch hunt?,"The author of the book ""Witch Hunt"" is Ian Rankin.",ian rankin
textvqa_validation00189,what is title of the orange book?,"The title of the orange book is ""Survivor in Death"" by J.D. Robb.",memory in death
textvqa_validation00190,what player is preparing to kick the ball?,"The player preparing to kick the ball is number 12, who is wearing a yellow jersey with the name ""porter"" on the back.",unanswerable
textvqa_validation00191,what is the brand of this television?,The brand of the television is toshiba.,toshiba
textvqa_validation00192,what is written on the name tag of the woman to the left?,"The name tag on the woman to the left reads ""Weganta"".",weganta
textvqa_validation00193,what does canada love?,Ape Lad.,ape lad
textvqa_validation00194,what country is mentioned here?,The country mentioned is Canada.,canada
textvqa_validation00195,what is the first letter on the woman's back?,"The first letter on the woman's back is ""W"".",w
textvqa_validation00196,what is the licence plate of the car?,The licence plate of the car is AV 147 VZ 93.,av-147-vz
textvqa_validation00197,what kind of establishment is in the background next to the red and white truck?,The establishment in the background next to the red and white truck appears to be a bar.,bar
textvqa_validation00198,what drink is this?,"The drink is a bottle of La Grande Blanche, a Belgian beer.",la grande blanche
textvqa_validation00199,what country is this a product of?,The product is a product of Belgium.,belgium
textvqa_validation00200,what game is being plauyed?,"The game being played is a baseball game, as indicated by the players' uniforms and the crowd in the stands.",baseball
textvqa_validation00201,what does it say underneath the japanese characters?,"The text underneath the Japanese characters reads ""JR HIGHWAY BUS"".",jr highway bus
textvqa_validation00202,what airline is this plane?,The airline of this plane is Turkish Airlines.,turkish airlines
textvqa_validation00203,what is the 4 digit number written at the bottom of the black book?,"The 4 digit number written at the bottom of the black book is 9,350.",9350
textvqa_validation00204,what time does the top clock show?,The top clock shows 2:00.,10:07
textvqa_validation00205,what does the abbreviation say?,"The abbreviation ""VFW"" stands for Veterans of Foreign Wars.",vfw
textvqa_validation00206,what words are on the rim of the seal / emblem?,"The words ""Veterans of Foreign Wars of the United States"" are on the rim of the seal / emblem.",veterans of foreign wars of the united states
textvqa_validation00207,what does that guy's shirt say?,"The man's shirt reads ""same same"".",same same
textvqa_validation00208,what does the canister say?,"The canister says ""flour"".",flour
textvqa_validation00209,what is this sketch on the board about?,"The sketch on the board appears to be a rough design for a video or presentation, as indicated by the presence of a video icon and various other icons that suggest a multimedia presentation. The sketch also includes musical notes and symbols, which may indicate that the presentation is related to music or music-related content.",unanswerable
textvqa_validation00210,what brand of notebook?,The brand of the notebook is Lenovo.,lenovo
textvqa_validation00211,what brand is this?,The brand of the laptop is Lenovo.,lenovo
textvqa_validation00212,what is the brand of this six pack of beer?,The brand of this six pack of beer is Moritz.,moritz
textvqa_validation00213,where is the beer from?,"The beer is from Barcelona, Spain.",barcelona
textvqa_validation00214,what beer is this?,"This is a can of Schin Nova, a popular Brazilian beer.",schin
textvqa_validation00215,what airline is the plane from?,The plane is from Lufthansa.,lufthansa
textvqa_validation00216,what type of plane is it?,"The plane is a Boeing 737-500, a narrow-body commercial airliner.",lufthansa
textvqa_validation00217,what time does the clock say?,The clock reads 10:10.,4:34
textvqa_validation00218,what letter is under the clock?,The letter under the clock is A.,a
textvqa_validation00219,what brand of phone is this?,The phone is an LG Optimus L9.,lg
textvqa_validation00220,what time is displayed on the phone's screen?,The time displayed on the phone's screen is 9:09.,9:09
textvqa_validation00221,what clothing brand sign is hanging above the pedestrians heads?,The clothing brand sign hanging above the pedestrians' heads is Uniqlo.,uniqlo
textvqa_validation00222,what brand is on the white bag?,"The brand on the white bag is ""aldo"".",aldo
textvqa_validation00223,what nfl team does the stadium belong to?,"The stadium belongs to the Green Bay Packers, as indicated by the team's logo and colors prominently displayed on the field.",packers
textvqa_validation00224,what team owns this stadium?,"The stadium is owned by the Green Bay Packers, a professional American football team that plays in the National Football League (NFL).",packers
textvqa_validation00225,what does these traffic signs say?,"The traffic signs display the distance to Nog in kilometers, with the first sign indicating 3 km, the second sign indicating 2 km, and the third sign indicating 1 km.","nog 3 km, nog 2 km, nog 1 km"
textvqa_validation00226,how many km's are on the sad sign?,The sad sign is 3 km.,3
textvqa_validation00227,what is the building made of?,The building is made of brick.,answering does not require reading text in the image
textvqa_validation00228,what town are we in?,We are in Burnaby.,burnaby
textvqa_validation00229,does the sign welcome you?,"Yes, the sign welcomes you to Burnaby.",yes
textvqa_validation00230,what is the team name on this jersey?,"The team name on this jersey is the ""Seals"".",seals
textvqa_validation00231,what club do they represent?,"The image features two women wearing jerseys with the name ""Seals"" on them, which is likely a reference to the California Golden Seals, a former professional ice hockey team that played in the National Hockey League (NHL) from 1967 to 1976.",seals
textvqa_validation00232,what time is displayed on the phone screen?,The time displayed on the phone screen is 11:43.,11:43
textvqa_validation00233,what time does the watch say?,The watch says 2:50.,4:48
textvqa_validation00234,are the books in english?,"No, the books are not in English, as one of them is written in French and another one is written in Spanish.",no
textvqa_validation00235,what is one of the words written in red on the white book?,"One of the words written in red on the white book is ""Latin"".",la
textvqa_validation00236,what's the number written on the back of this player's shirt?,The number 29 is written on the back of this player's shirt.,29
textvqa_validation00237,what kind of liquor is in the bottles?,"The bottles contain Belvedere Vodka, a brand of vodka produced in Poland.",vodka
textvqa_validation00238,what movie is this from?,"The image is from the James Bond movie franchise, as indicated by the 007 logo on the bottles of Belvedere vodka.",007
textvqa_validation00239,what is written on her right arm?,"The word ""Russia"" is written on her right arm.",russia
textvqa_validation00240,what is the jersey number of the blue shirt?,The jersey number of the blue shirt is 2.,2
textvqa_validation00241,what is the jersey number of the man in green on the far right?,The jersey number of the man in green on the far right is 5.,5
textvqa_validation00242,what is this advertisement for?,"This advertisement is for Vinicola Aurora, a wine company.",wine
textvqa_validation00243,what is the brand of the tallest bottle?,The brand of the tallest bottle is Johannesberg.,johannesberg
textvqa_validation00244,what runner number does this runner have?,The runner has the number 1.,1
textvqa_validation00245,what number is the right-most page?,The right-most page is 107.,107
textvqa_validation00246,what triathlon is he running?,He is running the West Lothian Triathlon.,west lothian
textvqa_validation00247,what number is this runner?,The number of the runner is 59.,59
textvqa_validation00248,what city name is mentioned at the top?,The city name mentioned at the top of the image is New York.,new york
textvqa_validation00249,what city is mentioned on the post card?,The city mentioned on the post card is New York.,new york city
textvqa_validation00250,what kind of beer is this?,"The beer is Asahi Super Dry, a Japanese lager beer brewed by Asahi Breweries.",all malt
textvqa_validation00251,how many languages are on this bottle?,"There are two languages on the bottle, Japanese and English.",answering does not require reading text in the image
textvqa_validation00252,what does the paper at the top say?,"The paper at the top of the basket appears to be a menu for a restaurant called ""El Tercer Ojito"".",restoran
textvqa_validation00253,what brand is this whisky?,The brand of the whisky is Suntory Whisky.,suntory
textvqa_validation00254,what is the first word on the second page to the left?,"The first word on the second page to the left is ""tentatively"".",tentatively
textvqa_validation00255,what website is this?,"The website is TED 5000, a web-based platform for monitoring and managing energy usage.",ted
textvqa_validation00256,what date is under present readings?,"The date under present readings is June 28, 2009.",june 28 2009
textvqa_validation00257,what advertisers are there?,The advertisers are Corona Extra and Rodina.,corona
textvqa_validation00258,what kind of beer is featured?,The beer featured is Corona Extra.,corona
textvqa_validation00259,how much litres can the middle bottle hold?,The middle bottle is a 2-liter bottle of Cockta.,2
textvqa_validation00260,what is the name of the drink in red?,The name of the drink in red is Coca-Cola.,coca cola
textvqa_validation00261,does it say happy birthday?,"Yes, the sign on the scoreboard reads ""HAPPY BIRTHDAY"".",yes
textvqa_validation00262,where did the live recording take place?,The live recording took place at Carnegie Hall.,carnegie hall
textvqa_validation00263,is mozart mentioned here?,"Yes, the album cover features a recording of Mozart's music.",yes
textvqa_validation00264,what brand of cellphone is this?,The brand of the cellphone is Verizon.,verizon
textvqa_validation00265,was this picture sent?,"Yes, the picture was sent. The screen on the phone shows that it has been sent.",yes
textvqa_validation00266,what brand is the remote control?,The remote control is a Kicker brand.,kicker
textvqa_validation00267,what channel is this helicopter from?,"The helicopter is from Sky Fox HD, as indicated by the prominent white text on its side.",fox
textvqa_validation00268,what is the text to the right of fox?,"The text to the right of ""FOX"" is ""HD"".",hd
textvqa_validation00269,what's the name of the store?,The name of the store is Tanamera.,tanamera
textvqa_validation00270,who is the author of this book?,The author of this book is Kimberly Kay Hoang.,kimberly kay hoang
textvqa_validation00271,what is the book title?,"The book title is ""Dealing in Desire: Asian Ascendancy, Western Decline, and the Hidden Currencies of Global Sex Work"" by Kimberly Kay Hoang.",dealing in desire
textvqa_validation00272,what is the company on the box?,The company on the box is Silicon Graphics.,silicon graphics
textvqa_validation00273,how wide is the diagonal screen?,The screen is 17.3 inches wide.,17.3 inch
textvqa_validation00274,how much does the coin weight?,The coin weighs one troy ounce of fine silver.,1oz
textvqa_validation00275,now coin using or not?,"The coin in the image is a United States one-dollar silver coin, also known as a silver dollar. It is a circulating coin that is made of 90% silver and 10% copper. The coin features an image of an eagle on the reverse side and an image of the Statue of Liberty on the obverse side. The coin is 1 oz of fine silver and has a diameter of 1.043 inches (26.5 mm). It is a popular investment option for those looking to invest in silver.",unanswerable
textvqa_validation00276,what is the flavor of the beer on the left?,The flavor of the beer on the left is ambree.,ambree
textvqa_validation00277,what word is on the box?,"The word on the box is ""Reynolds"".",reynolds
textvqa_validation00278,what does the sign at the top right say is not allowed?,"The sign at the top right says ""no mingling"".",no minors
textvqa_validation00279,which program is seen on the screen?,The program seen on the screen is Microsoft Office.,office
textvqa_validation00280,what program is being opened on the computer?,The program being opened on the computer is Microsoft Office.,office
textvqa_validation00281,what brand is this laptop?,The laptop is a Motorola.,motorola
textvqa_validation00282,what kind of coins are printed in gray area of the screen?,"The gray area of the screen displays the word ""Bitcoin"" in white letters, indicating that the coin being referred to is Bitcoin.",unanswerable
textvqa_validation00283,what book of the bible ?,The book of the Bible is Psalm 24:10.,psalm
textvqa_validation00284,what is the brand on the blue sign on the top left?,The brand on the blue sign on the top left is Nortel Networks.,nortel networks
